latitude,longitude
40.599921,-73.944232
36.67674874,-4.49143410
47.6123,-122.338
37.308863,-121.813578
40.77872162,-73.96888733
41.9000516,12.4936994
40.76785451,-73.99084792
40.6603061,-73.0890868
29.926552,-96.882538
29.1888916,-82.0998635
28.48083835,-16.31838799
32.753025,-96.57547
33.56750237,-111.91909790
25.6868203,-80.38624254
45.5264478,-122.6365345
46.3001,11.447622
35.69901977,139.77462709
47.368221,8.496274
40.6521527,-74.3473222
40.69118179,-74.01678085
21.294912,-157.841949
42.103035,-72.616013
-6.935875,106.936007
32.6533,-116.960328
30.404353,-87.273662
40.726008,-74.00532
42.3511827,-71.0638472
42.3407336,-71.08202058
38.235561,-85.715381
37.76794146,-122.39283443
43.509723,-79.6282029
41.979947,-87.863072
32.75145503,-97.35315800
37.76836552,-122.51151681
-22.9530167,-43.1817713
33.350523,-111.961279
21.294314,-157.85282766
45.53517532,-122.65182853
33.58161,-111.92564048
45.7984603,8.8549893
25.859138,-80.121808
34.0088738,-81.1185859
41.9476577,-87.7102956
33.45883087,-112.06101626
37.7866223,-122.4044619
38.3049279,-104.595294
36.10133093,-115.130479
40.7435214,-73.994165
27.8809281,-82.8324017
40.76137,-73.987139
40.04338626,-75.53671360
-23.53581895,-46.77171707
35.470189,-95.53505980
25.58076919,-103.40151787
37.00027,-79.881455
39.707882,-105.1292
40.7500799,-74.029163
30.26678639,-97.75218487
55.95527881,-3.18861008
42.248236,-71.001695
42.053426,-80.15712
37.762534,-122.39705827
33.99998410,-118.44130754
34.513414,-114.30059
42.5485442,-71.2708673
34.241271,-118.535829
41.236919,-111.957375
42.16909721,-87.84856796
40.7484567,-73.976863
30.383227,-86.360984
36.37150469,-121.90176487
39.94323905,-75.15671968
41.46727,-74.41395
47.4581367,-122.2611214
34.053141,-118.42317
40.420265,-3.691877
32.856679,-97.076609
30.460525,-87.285042
38.2356206,-85.7156423
41.5867999,-93.622792
37.78055012,-122.3904121
42.173736,-70.8848605
33.98717934,-118.47292006
40.720515,-73.997892
42.50320567,-76.29030705
41.7511896,-87.6057242
39.987376,-86.12060968
40.75801773,-74.00311232
37.39638023,-6.00475788
35.7606291,-83.9764528
36.16925,-115.139923
-8.110466,-34.897643
45.4335015,12.3481531
-23.59994589,-46.67657375
32.768777,-96.797987
1.4708889,124.8454608
20.858698,-156.6662849
42.30687178,-74.25164580
33.46358299,-112.275273
41.46826441,-87.34508514
40.7118,-73.320436
40.7460882,-74.0082932
34.2571612,-118.5357507
44.512912,11.35783
37.78160214,-122.39252876
45.4766843,12.249759
28.52551011,-81.20167851
40.7426699,-74.008234
38.885348,-77.002754
40.7362,-74.0301
29.464813,-98.464171
40.7634104,-73.9212496
33.451093,-117.608597
30.20257730,-97.66714811
-23.510873,-46.6927833
37.70164878,-121.89888954
41.42691285,-73.41995180
40.74424624,-74.006567
40.744556,-74.035793
40.76001,-73.7313
50.295055,18.683112
42.0016134,-87.7254238
42.299151,-71.436603
37.39452124,-122.09080696
41.26535611,1.99813843
32.89754272,-96.97255254
40.728997,-74.005168
-27.58092967,-48.58645678
38.139399,13.332163
34.232943,-111.3235748
45.45556064,9.18541
34.370097,-117.377717
40.7295728,-73.874975
42.35143210,-71.07172608
41.463852,-82.019636
47.2768861,8.6284322
40.81637510,-73.95275116
40.760905,-73.972975
